Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
"Triazophos  60% LC,
{To be phase out 31st December, 2020  and no new certificate of registration shall be issued vide S.O. 3951(E) dated 8th August, 2018}",381,"1.  Bayer    CropScience    GmbH, Frankfurt,  Germany  (Name of  previous  source  is  M/s. Aventis CropScience GmbH, Frankfurt, Germany this was changed in 230th RC)
2.     Hubei Sanonda Co. Ltd., 1, East Beijing    Road, Shanshi Hubei, China
Supplier: Sanonda International, China","1.     Gharda Chemicals, Mumbai
2.     Meghmani Organics
3.     Agrevo India Ltd., Mumbai
4.     Sudarshan Chemical Industries Ltd., Pune.
5.     Gujarat Superphosphate Industries Limited, Ahmedabad
6.     Sabero Organics Gujarat
7.     Aarti Industries Limited
8.     Gujarat Insecticide Ltd., Anleshwar
9.     Punjab Chemicals and Crop Protection Ltd., Mumbai
10.   Hyderabad Chemical Products Pvt. Ltd.
11.   Excel Crop Care Ltd., Mumbai
12.   Hikal Ltd.
13.   Cheminova India Ltd.
14.   Hiranba Industries Ltd.
15.   HPM Chemical and Fertilizers Ltd.9(4)"
"Trichlorfon Technical
95% min. {To be phase out 31st December, 2020  and no new certificate of registration shall be issued vide S.O. 3951(E) dated 8th August, 2018}",119,1.                Nihon Bayer Agrochem K.K. Japan,
"Tricyclazole Technical 95% w/w min., 98% min,",438,"1.     Elanco Ihasa, K.K., Shizuoka-ken, Japan
2.     Dong Yang Elamco co. Ltd., Seoul, Korea.
3.  Hangzhou Southern Suburb Chemical Co. Ltd., Puyan, Binjiang District, Haugzhou,
Zhejiang China","1.      Indofil Indutries Ltd., Andheri(E)
2.      Nagarjuna Agrichem, Mumbai.
3.      Rallis India Ltd.
4.      Crystal Phosphates Ltd., Delhi.
5.      Sudarshan Chemical Industries Ltd, Pune 95%
6.      Gujarat Superphosphate Industries (P) Limited, Ahmedabad"
,,"Through supplier:
King Tech Corporation (Room 14 F/M), International Trade commercial building, No. 3005, Nanhu Road, Shenzhen, 518005, PR China (98% min)","7.      Heranba Industries limited
8.      Crop Life Science Ltd, Ankleshwar.
9.      Hyderabad Chemical Products Pvt. Ltd.
10.    Atul Ltd., Valsad
11.    Punjab Chemicals and Crop Protection Ltd., Mumbai,95%min. 9(4) in 389th RC.
12.    Meghmani Industries Ltd. Ahmedabad (98%)
13.    Tagros Chemicals India Ltd., Chennai 98%
14.    Best Crop Science LLP, Gajraula, UP, 98% min, 9 (4)
15.    M/s Hindustan Insecticides Ltd. 98% min, 9 (4)
16.    Oriyo Organics Pvt. Ltd., Yamunanagar, 98% min, 9 (4)
17.     Bhuneshwari Organics Pvt. Ltd., 98% min, 9 (4)
18.    M/s Hindustan Insecticides Ltd. 98% min, 9 (4)
19.    M/s Agrow Allied Venture Pvt. Ltd., 98% w/w min., 9(4), in 392nd RC.
20.    M/s Shreeji Pesticides Pvt. Ltd., 95% w/w min, 9 (4) in 393rd RC
21.    M/s Godavari Farm Chemical Industries Ltd., 98% min., 9
(4) in 395th RC
22.    M/s India Pesticides Ltd., 98% w/w min. 9 (4) in 397th RC"
"Tridemorph Technical 95% min.
{Banned vide S.O. 3951(E)
dated 8th August, 2018}",317,"BASF, Germany.","BASF India Ltd., Mumbai"
Trifloxystrobin Technical 96% w/w min.,705,"1.  M/s Bayer CropScience AG at Muttenz, Switzerland, Through Supplier-  Same .( By- M/s Bayer CropScience",
,,"Pvt. Ltd., Mumbai, 96% w/w min. in 388th RC)",
"Triflumezopyrim Technical 94 % w/w Min.,",846,---,"1.  M/s E.I. Dupont India Pvt. Ltd., 94 % w/w Min., in 387 th RC"
Trifluralin Technical 85% min. 95% min,318,"1.     Dow Elanco, USA
2.     Agan Chemical Manufacturer Ltd., Northern Industrial Zone, P.O. Box 262, Ashdod 77102, Israel
1.     Eli Lilly & Co., USA. (by Bayer CropScience Ltd., India, TI)","2.     De-nocil Crop Protection Ltd., Mumbai
3.     Sudarshan Chemicals Industries Ltd., (95%)"
Thifluzamide Technical 96% min,615,,"Nagarjuna Agrichem Ltd., 61, Nagarjuna Hills, Punjagutta Hyderabad-500083 (AP)"
Validamycin Technical 64% min.,412,"1      Sumitomo Chemical Takeda Agro Co. Ltd., Japan (through - Arysta Life Science Corporation, Japan)
2      Sumitomo Chemical Co. Ltd., Singapore and Supplier: Sumitomo Chemical Singapore Pte. Ltd., Singapore
3      Sumitomo Chemical Co. Ltd., Tokyo, Japan. Supplier
- Summit Agro International Co. Ltd., Tokyo, Japan
4      Zhejiang Tonglu Huifeng Biochemical Co. Ltd., Zhejiang, China through
Willowood Ltd. Hong Kong",
Zinc Phosphide Technical 80% min.,126,,"1.      Agrosynth Chemicals Ltd., Bangalore.
2.      Excel Crop Care Ltd. Ltd., Mumbai
3.      Sandhya Organic Chemicals Ltd., Mumbai
4.      United Phosphorus Ltd., Mumbai"
Zineb Technical 80% min.,128,"1.     Dow Agro Science, Italy.
2.     FMC Corporation, USA.
3.     Montidison SPA, Italy.","1.               Merchem Ltd., Cochin"
Ziram Technical 95% min.,129,,"1.      Merchem Ltd., Cochin.
2.      India Pesticide Ltd., Lucknow
3.     Syngenta India Ltd., Pune"
